message_id,action,message_type,reason,confidence,evidence_message_ids
msg_013,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.85,message_0082
msg_018,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0026;message_0092
msg_044,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0143
msg_032,digest,personal,The message is safe casual chat with no urgent action required.,0.79,message_0119
msg_106,digest,promotion,The message matches the user's known interests but is still low priority.,0.83,message_0234
msg_006,notify,payment,A legitimate payment reminder from a known account is close to its due date.,0.87,message_0029
msg_109,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.87,message_0151
msg_108,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.87,message_0094
msg_019,mute,scam,The sender is impersonating a known brand from an unofficial domain to look legitimate.,0.87,message_0277
msg_088,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.85,message_0224
msg_056,notify,event,The sender directly asks this user for a response or action.,0.86,message_0168
msg_027,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.79,message_0007
msg_050,notify,event,The sender directly asks this user for a response or action.,0.86,message_0279
msg_083,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0219
msg_063,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0181
msg_033,digest,greeting,The message is a harmless greeting that can be read later.,0.81,message_0121
msg_061,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0177;message_0193
msg_020,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0096
msg_017,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0089
msg_058,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0078;message_0124
msg_026,mute,scam,The sender is impersonating a known brand from an unofficial domain to look legitimate.,0.87,message_0032
msg_047,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0150
msg_046,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0147
msg_042,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0140
msg_079,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0369
msg_098,notify,event,The sender directly asks this user for a response or action.,0.87,message_0359
msg_037,notify,personal,The message carries a same-day deadline that the user needs to act on now.,0.85,message_0269
msg_007,digest,personal,The message is safe casual chat with no urgent action required.,0.79,message_0069
msg_085,mute,scam,The sender is impersonating a known brand from an unofficial domain to look legitimate.,0.87,message_0221
msg_001,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.90,message_0057
msg_021,notify,payment,A legitimate payment reminder from a known account is close to its due date.,0.87,message_0068
msg_028,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0034;message_0112
msg_012,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0079;message_0247
msg_064,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0087
msg_103,notify,personal,A close contact sent a short urgent request that should interrupt the user.,0.87,message_0390
msg_031,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.91,message_0249
msg_057,notify,personal,The sender directly asks this user for a response or action.,0.89,message_0266
msg_087,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.86,message_0204
msg_067,digest,payment,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.83,message_0067
msg_039,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.89,message_0051
msg_082,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.91,message_0218
msg_066,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0402;message_0188
msg_049,notify,business_update,A service the user is currently using has changed status and needs checking now.,0.87,message_0154
msg_015,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0085
msg_051,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0257;message_0158
msg_097,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.81,message_0054
msg_089,digest,event,The message describes a scheduled item that the user can review later.,0.81,none
msg_053,digest,forward,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.84,message_0411
msg_059,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0053
msg_024,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0257;message_0158
msg_072,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0085
msg_036,mute,scam,The sender is impersonating a known brand from an unofficial domain to look legitimate.,0.87,message_0283
msg_076,mute,scam,The sender is impersonating a known brand from an unofficial domain to look legitimate.,0.87,message_0207
msg_055,notify,personal,The sender directly asks this user for a response or action.,0.86,message_0166
msg_102,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.81,message_0230
msg_080,digest,personal,The message is safe casual chat with no urgent action required.,0.79,message_0130
msg_093,digest,event,The verified business message is legitimate but does not require immediate attention.,0.84,message_0347
msg_034,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0077;message_0123
msg_035,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0281
msg_101,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0268
msg_041,digest,business_update,The business message is safe but the user has no active relationship that makes it urgent.,0.80,message_0137
msg_011,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0014;message_0077
msg_110,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.87,message_0238
msg_095,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.87,message_0024
msg_074,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.86,message_0204;message_0203
msg_073,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0024;message_0087
msg_054,mute,scam,"The message pressures the user into an unverified payment, which is a common fraud pattern.",0.87,message_0163
msg_068,digest,personal,The message is safe casual chat with no urgent action required.,0.79,message_0191
msg_100,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.87,message_0362
msg_062,digest,forward,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.83,message_0043
msg_096,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.82,none
msg_043,digest,forward,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.83,message_0130
msg_077,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0403
msg_081,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.88,message_0217
msg_025,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.90,message_0004
msg_084,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0220;message_0356
msg_022,digest,payment,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.84,message_0100
